"index"	"length" "start_nt" "Freq" "prop"
"1" "18" "A" 1182009 0.0158193906162846
"2" "19" "A" 1242250 0.0166256246721299
"3" "20" "A" 1389881 0.0186014408089552
"4" "21" "A" 1216818 0.016285256077514
"5" "22" "A" 851278 0.0113930597863887
"6" "23" "A" 837458 0.0112081001301449
"7" "24" "A" 877364 0.0117421811751568
"8" "25" "A" 726381 0.00972150362243219
"9" "26" "A" 662842 0.0088711308584616
"10" "27" "A" 810473 0.0108469469952869
"11" "28" "A" 1088597 0.0145692132350224
"12" "29" "A" 1232155 0.0164905184688172
"13" "30" "A" 918123 0.012287678326303
"14" "31" "A" 387485 0.00518589670040673
"15" "32" "A" 223884 0.00299634643114923
"16" "33" "A" 185185 0.00247841924323476
"17" "34" "A" 162604 0.00217620694239244
"18" "35" "A" 145669 0.00194955775436868
"19" "36" "A" 129834 0.00173763039137155
"20" "37" "A" 116289 0.00155635119138443
"21" "38" "A" 100051 0.00133903028703664
"22" "39" "A" 88307 0.00118185472966132
"23" "40" "A" 73685 0.000986161524625391
"24" "41" "A" 60496 0.000809646842555983
"25" "42" "A" 57372 0.000767836859480327
"26" "43" "A" 54495 0.000729332595297017
"27" "44" "A" 50531 0.000676280491291927
"28" "45" "A" 44707 0.000598335119514519
"29" "46" "A" 1027 1.37448311839625e-05
"30" "47" "A" 526 7.03970905819306e-06
"31" "48" "A" 568 7.60181510466475e-06
"32" "49" "A" 525 7.02632558089611e-06
"33" "50" "A" 475 6.35715171604886e-06
"34" "51" "A" 374 5.00542050905742e-06
"35" "52" "A" 344 4.60391619014907e-06
"36" "53" "A" 368 4.92511964527575e-06
"37" "54" "A" 338 4.5236153263674e-06
"38" "55" "A" 280 3.74737364314459e-06
"39" "56" "A" 300 4.01504318908349e-06
"40" "57" "A" 324 4.33624664421017e-06
"41" "58" "A" 302 4.04181014367738e-06
"42" "59" "A" 272 3.64030582476903e-06
"43" "60" "A" 231 3.09158325559429e-06
"44" "61" "A" 202 2.70346241398289e-06
"45" "62" "A" 208 2.78376327776456e-06
"46" "63" "A" 178 2.38225895885621e-06
"47" "64" "A" 131 1.75323552589979e-06
"48" "65" "A" 136 1.82015291238452e-06
"49" "66" "A" 110 1.47218250266395e-06
"50" "67" "A" 154 2.06105550372953e-06
"51" "68" "A" 75 1.00376079727087e-06
"52" "69" "A" 105 1.40526511617922e-06
"53" "70" "A" 82 1.09744513834949e-06
"54" "71" "A" 99 1.32496425239755e-06
"55" "72" "A" 88 1.17774600213116e-06
"56" "73" "A" 94 1.25804686591283e-06
"57" "74" "A" 98 1.31158077510061e-06
"58" "75" "A" 79 1.05729470645865e-06
"59" "76" "A" 67 8.96692978895314e-07
"60" "77" "A" 67 8.96692978895314e-07
"61" "78" "A" 65 8.69926024301424e-07
"62" "79" "A" 64 8.56542547004479e-07
"63" "80" "A" 45 6.02256478362524e-07
"64" "81" "A" 18 2.4090259134501e-07
"65" "82" "A" 16 2.1413563675112e-07
"66" "83" "A" 17 2.27519114048065e-07
"67" "84" "A" 13 1.73985204860285e-07
"68" "85" "A" 10 1.3383477296945e-07
"69" "86" "A" 7 9.36843410786148e-08
"70" "87" "A" 14 1.8736868215723e-07
"71" "88" "A" 7 9.36843410786148e-08
"72" "89" "A" 15 2.00752159454175e-07
"73" "90" "A" 13 1.73985204860285e-07
"74" "18" "C" 834855 0.011173262938741
"75" "19" "C" 871315 0.0116612245209876
"76" "20" "C" 914501 0.0122392033715335
"77" "21" "C" 835281 0.0111789643000695
"78" "22" "C" 578580 0.00774341229446643
"79" "23" "C" 536933 0.00718603061548056
"80" "24" "C" 549588 0.0073553985206734
"81" "25" "C" 489403 0.00654991393955676
"82" "26" "C" 482873 0.00646251983280771
"83" "27" "C" 573873 0.00768041626682971
"84" "28" "C" 753652 0.0100864844317972
"85" "29" "C" 826634 0.0110632373718828
