Sample,Total Reads,QC & Decontaminated,Passed Filter (%),Mapped Reads,Mapped (%)
T3_D_D1_M5_R,5745845,4255576,74.06,14267238,97.28
T3_D_D1_U41_R,6636834,5105666,76.93,17758721,98.66
T3_D_D1_U46_S,4599568,3630573,78.93,12612846,98.16
T3_D_D1_U65_S,13749522,12828467,93.3,43486374,98.37
T3_D_D1_U72_R,7246287,6723611,92.79,22233064,98.46
T3_D_D2_M1_S,8973367,8198192,91.36,26043941,97.83
T3_D_D2_U37_R,5171740,4833090,93.45,15775118,98.22
T3_D_D2_U58_S,7046222,6308654,89.53,19976641,98.04
T3_D_D4_K1_R,8150136,7588660,93.11,24795804,98.3
T3_D_D4_U47_S,4310257,3614963,83.87,11896877,98.48
T3_D_D4_U59_S,3722591,2336826,62.77,7726519,94.28
T3_D_D4_U67_R,9207280,8314931,90.31,27369829,98.35
T3_H_H1_U41_R,2289465,2021768,88.31,6595816,98.25
T3_H_H1_U46_S,5177339,4343038,83.89,14365660,98.42
T3_H_H1_U58_S,4654415,3636993,78.14,12458356,98.51
T3_H_H4_U37_R,5784924,5195276,89.81,16985420,98.22
T3_H_H4_U47_S,8237979,7563845,91.82,24372335,98.29
T3_H_H4_U65_S,3105458,2543616,81.91,8657618,98.41
T3_H_H4_U67_R,10423540,9189760,88.16,30643062,98.55
T3_H_H5_K1_R,6478021,5873240,90.66,19140328,98.08
T3_H_H5_M1_S,3453569,2912154,84.32,9270671,97.92
T3_H_H5_M5_R,5799578,4495446,77.51,15952869,98.04
T3_H_H5_U59_S,4757909,3985404,83.76,13359019,98.69
T3_H_H5_U72_R,5219625,4786129,91.69,15387842,98.25
T7_D_D1_M5_R,3871034,3379515,87.3,11000411,97.94
T7_D_D1_U41_R,9610956,8834735,91.92,28616923,97.29
T7_D_D1_U46_S,9731015,7967219,81.87,24251089,96.34
T7_D_D1_U65_S,33898385,28408595,83.81,83495098,94.5
T7_D_D1_U72_R,13690727,13061904,95.41,45402091,98.63
T7_D_D2_M1_S,5070749,3706958,73.1,9786936,90.61
T7_D_D2_U37_R,12233687,10518916,85.98,33286195,96.45
T7_D_D2_U58_S,2100268,1677204,79.86,4780814,93.34
T7_D_D4_K1_R,7964201,6746890,84.72,20868884,96.2
T7_D_D4_U47_S,7147545,5240028,73.31,11713010,86.12
T7_D_D4_U59_S,5461586,3920721,71.79,10196055,90.77
T7_D_D4_U67_R,9974407,9410313,94.34,31533014,98.67
T7_H_H1_U41_R,10081282,8001156,79.37,22441139,92.71
T7_H_H1_U46_S,39329206,26238214,66.71,60340907,86.16
T7_H_H1_U58_S,5345012,4741157,88.7,14507341,96.44
T7_H_H4_U37_R,6275802,5805481,92.51,18695089,97.79
T7_H_H4_U47_S,14360037,12107837,84.32,37396946,96.01
T7_H_H4_U65_S,29197812,26494560,90.74,86361293,97.66
T7_H_H4_U67_R,5383862,4147013,77.03,11449379,92.13
T7_H_H5_K1_R,10672139,9536589,89.36,30992454,97.59
T7_H_H5_M1_S,8242713,7321539,88.82,22290808,96.2
T7_H_H5_M5_R,6793955,5196295,76.48,16343135,96.67
T7_H_H5_U59_S,40642235,34025101,83.72,99950936,94.48
T7_H_H5_U72_R,9640054,9097541,94.37,30210747,98.58
