microRNA,sample_id,n
Acerv_scaffold_0_318,310,3
Acerv_scaffold_0_318,312,15
Acerv_scaffold_0_318,313,1
Acerv_scaffold_0_318,314,7
Acerv_scaffold_0_318,315,3
Acerv_scaffold_0_318,316,10
Acerv_scaffold_0_318,317,7
Acerv_scaffold_0_318,318,2
Acerv_scaffold_0_318,319,5
Acerv_scaffold_0_318,320,6
Acerv_scaffold_0_318,321,2
Acerv_scaffold_0_318,322,4
Acerv_scaffold_0_318,323,2
Acerv_scaffold_0_318,324,5
Acerv_scaffold_0_318,710,10
Acerv_scaffold_0_318,711,7
Acerv_scaffold_0_318,712,47
Acerv_scaffold_0_318,713,22
Acerv_scaffold_0_318,714,12
Acerv_scaffold_0_318,715,10
Acerv_scaffold_0_318,716,11
Acerv_scaffold_0_318,717,22
Acerv_scaffold_0_318,718,86
Acerv_scaffold_0_318,719,6
Acerv_scaffold_0_318,720,33
Acerv_scaffold_0_318,721,18
Acerv_scaffold_0_318,722,14
Acerv_scaffold_0_318,723,85
Acerv_scaffold_0_318,724,22
Acerv_scaffold_0_318,T31,3
Acerv_scaffold_0_318,T32,1
Acerv_scaffold_0_318,T33,3
Acerv_scaffold_0_318,T34,11
Acerv_scaffold_0_318,T35,12
Acerv_scaffold_0_318,T36,12
Acerv_scaffold_0_318,T37,2
Acerv_scaffold_0_318,T38,11
Acerv_scaffold_0_318,T39,11
Acerv_scaffold_0_318,T71,7
Acerv_scaffold_0_318,T72,22
Acerv_scaffold_0_318,T73,27
Acerv_scaffold_0_318,T74,86
Acerv_scaffold_0_318,T75,13
Acerv_scaffold_0_318,T76,3
Acerv_scaffold_0_318,T77,16
Acerv_scaffold_0_318,T78,4
Acerv_scaffold_0_318,T79,10
Acerv_scaffold_0_406,310,5316
Acerv_scaffold_0_406,311,2435
Acerv_scaffold_0_406,312,9504
Acerv_scaffold_0_406,313,2779
Acerv_scaffold_0_406,314,5782
Acerv_scaffold_0_406,315,5712
Acerv_scaffold_0_406,316,7412
Acerv_scaffold_0_406,317,11934
Acerv_scaffold_0_406,318,3063
Acerv_scaffold_0_406,319,9740
Acerv_scaffold_0_406,320,11217
Acerv_scaffold_0_406,321,4472
Acerv_scaffold_0_406,322,9867
Acerv_scaffold_0_406,323,5357
Acerv_scaffold_0_406,324,9248
Acerv_scaffold_0_406,710,4463
Acerv_scaffold_0_406,711,3472
Acerv_scaffold_0_406,712,12270
Acerv_scaffold_0_406,713,8437
Acerv_scaffold_0_406,714,19631
Acerv_scaffold_0_406,715,6332
Acerv_scaffold_0_406,716,7878
Acerv_scaffold_0_406,717,15038
Acerv_scaffold_0_406,718,38587
Acerv_scaffold_0_406,719,4326
Acerv_scaffold_0_406,720,12070
Acerv_scaffold_0_406,721,10168
Acerv_scaffold_0_406,722,4324
Acerv_scaffold_0_406,723,40614
Acerv_scaffold_0_406,724,11132
Acerv_scaffold_0_406,T31,8734
Acerv_scaffold_0_406,T32,5132
Acerv_scaffold_0_406,T33,6919
Acerv_scaffold_0_406,T34,16750
Acerv_scaffold_0_406,T35,11434
Acerv_scaffold_0_406,T36,11067
Acerv_scaffold_0_406,T37,8018
Acerv_scaffold_0_406,T38,13104
Acerv_scaffold_0_406,T39,11923
Acerv_scaffold_0_406,T71,3913
Acerv_scaffold_0_406,T72,10375
Acerv_scaffold_0_406,T73,10320
Acerv_scaffold_0_406,T74,33322
Acerv_scaffold_0_406,T75,15685
Acerv_scaffold_0_406,T76,4254
Acerv_scaffold_0_406,T77,14918
Acerv_scaffold_0_406,T78,2292
Acerv_scaffold_0_406,T79,7490
Acerv_scaffold_0_551,310,3
Acerv_scaffold_0_551,311,2
